주차장명,관리기관명,위도,경도
고려주차장,부산광역시 해운대구,35.16366216,129.1635548
제일주차장,부산광역시 해운대구,35.16682212,129.1607985
신도시주차장,부산광역시 해운대구,35.17445488,129.1739817
보성주차장,부산광역시 해운대구,35.20711257,129.1256555
24시주차장,부산광역시 해운대구,35.15998913,129.155671
해우주차장,부산광역시 해운대구,35.16086588,129.1626994
우동주차장,부산광역시 해운대구,35.16740098,129.1592642
대성주차장,부산광역시 해운대구,35.22416061,129.1528606
해운대구청주차장,부산광역시 해운대구,35.16297425,129.1637253
반여동주차장,부산광역시 해운대구,35.21155083,129.125802
신라주차장,부산광역시 해운대구,35.18799878,129.1212672
신촌주차장,부산광역시 해운대구,35.20521452,129.1255665
반송주차장,부산광역시 해운대구,35.22395756,129.1468416
영광주차장,부산광역시 해운대구,35.16310756,129.1609021
해천주차장,부산광역시 해운대구,35.22021925,129.1527477
기장주차장,부산광역시 해운대구,35.16169812,129.1594909
대영주차장,부산광역시 해운대구,35.18623279,129.1214583
부일주차장,부산광역시 해운대구,35.16692017,129.1599495
성심주차장,부산광역시 해운대구,35.22671752,129.1479203
송민주차장,부산광역시 해운대구,35.22231733,129.1496931
유진주차장,부산광역시 해운대구,35.23142898,129.1535798
주차장,부산광역시 해운대구,35.16857415,129.1718673
누리주차장,부산광역시 해운대구,35.16163552,129.156329
한라주차장,부산광역시 해운대구,,
신도시주차장,부산광역시 해운대구,35.16820959,129.1638421
대천주차장,부산광역시 해운대구,35.16776079,129.1780175
5994주차장,부산광역시 해운대구,35.19930631,129.1319381
청도주차장,부산광역시 해운대구,35.22182838,129.1526628
K.T주차장,부산광역시 해운대구,35.16497672,129.1640198
극동주차장,부산광역시 해운대구,35.16060723,129.1709093
리베라세이브존주차장,부산광역시 해운대구,35.16279772,129.1619034
대신주차장,부산광역시 해운대구,35.20037991,129.1313557
흥안인더스트리,부산광역시 해운대구,35.16025354,129.1604535
GS타임즈 해운대 제3,부산광역시 해운대구,35.16173667,129.1601591
한양주차장,부산광역시 해운대구,35.1868264,129.124196
GS타임즈 해운대 제2,부산광역시 해운대구,35.15939679,129.153509
행운주차장,부산광역시 해운대구,35.20865668,129.124141
해동주차장,부산광역시 해운대구,35.16878392,129.1562983
강남주차장,부산광역시 해운대구,35.22156487,129.152076
해운대비치주차장,부산광역시 해운대구,35.1593076,129.1564957
대천주차장,부산광역시 해운대구,35.16776079,129.1780175
진영주차장,부산광역시 해운대구,35.16856015,129.1774638
지에스타임즈스테이션센텀필주차장,부산광역시 해운대구,,
해운대온천센터주차장,부산광역시 해운대구,35.16332259,129.1652094
신리주차장,부산광역시 해운대구,35.23086636,129.1529895
센텀Q주차장,부산광역시 해운대구,35.17295581,129.1315877
코리아주차장,부산광역시 해운대구,35.17048974,129.1721817
KT해운대지점주차장,부산광역시 해운대구,35.16342132,129.160489
대형주차장,부산광역시 해운대구,,
조방주차장,부산광역시 해운대구,35.17327613,129.1723787
동백주차장,부산광역시 해운대구,35.16195345,129.159524
동백섬주차장,부산광역시 해운대구,35.15710616,129.1525928
하나주차장,부산광역시 해운대구,35.17268966,129.1745274
IS프라자 근린상가주차장,부산광역시 해운대구,35.17430318,129.1818138
장산주차장,부산광역시 해운대구,35.17170751,129.1758269
우리주차장,부산광역시 해운대구,35.16249146,129.1594724
유로주차장,부산광역시 해운대구,35.16779536,129.1612017
반송주차장,부산광역시 해운대구,35.22067695,129.1499134
1박2일주차장,부산광역시 해운대구,35.16223592,129.1558093
스카이문주차장,부산광역시 해운대구,35.158655,129.1822604
개미주차장,부산광역시 해운대구,,
선수촌주차장,부산광역시 해운대구,35.20076523,129.1200885
삼성주차장,부산광역시 해운대구,35.20289348,129.1187649
경안주차장,부산광역시 해운대구,35.21291281,129.1278842
동해주차장,부산광역시 해운대구,35.16598521,129.1590161
광장주차장,부산광역시 해운대구,35.15963064,129.1630398
신일주차장,부산광역시 해운대구,35.16000576,129.1581777
보성주차장,부산광역시 해운대구,35.20860667,129.1167087
현대주차장,부산광역시 해운대구,35.16224082,129.159378
기린주차장,부산광역시 해운대구,35.1858887,129.2028823
다향체육관외곽노상주차장,전라남도 보성군청,34.772813,127.09422
보성군청-동윤삼거리노상주차장,전라남도 보성군청,34.770227,127.080665
신흥동산입구노상주차장,전라남도 보성군청,34.767235,127.080682
벌교신협앞노상주차장,전라남도 보성군청,34.844807,127.343466
벌교초등학교옆노상주차장,전라남도 보성군청,34.84413,127.342075
벌교천1길노상주차장,전라남도 보성군청,34.847431,127.342872
율포해변주차장,전라남도 보성군청,34.668787,127.085492
다향각인근노상주차장,전라남도 보성군청,34.706898,127.090297
일림산용추폭포노상주차장,전라남도 보성군청,34.693925,127.012452
보성파머스마트앞노외주차장,전라남도 보성군청,34.769405,127.080217
보성갯거리노외주차장,전라남도 보성군청,34.768731,127.090008
녹차골보성향토시장주차장,전라남도 보성군청,34.764888,127.077571
보성녹차밭주차장,전라남도 보성군청,34.715104,127.085636
벌교역광장주차장,전라남도 보성군청,34.842161,127.345499
벌교대교옆노외주차장,전라남도 보성군청,34.839975,127.356259
태백산맥문학거리주차장,전라남도 보성군청,34.842797,127.343111
신현사거리주차장,전라남도 보성군청,34.844839,127.343044
부용산오리길주차장,전라남도 보성군청,34.848058,127.339465
다비치콘도공영주차장,전라남도 보성군청,34.670965,127.090967
다향각인근노외주차장,전라남도 보성군청,34.711523,127.090167
일림산한치재주차장,전라남도 보성군청,34.698522,127.064201
일림산용추폭포주차장,전라남도 보성군청,34.698588,127.012511
벌교역 노외공영주차장,전라남도 보성군청,34.842628,127.345016
보성공설운동장다향체육관주차장,전라남도 보성군청,34.772813,127.09422
보성공공도서관주차장,전라남도 보성군청,34.768466,127.078443
보성종합사회복지관주차장,전라남도 보성군청,34.770488,127.083389
보성군장애인복지관주차장,전라남도 보성군청,34.774393,127.086692
보성군청지하주차장,전라남도 보성군청,34.771612,127.079931
보성읍사무소주차장,전라남도 보성군청,34.768576,127.080145
보성군보건소주차장,전라남도 보성군청,34.772123,127.077979
보성보훈회관주차장,전라남도 보성군청,34.772868,127.077979
보성문화원주차장,전라남도 보성군청,34.777921,127.088644
한국차소리문화공원주차장,전라남도 보성군청,34.719843,127.081735
청소년수련원주차장,전라남도 보성군청,34.730208,127.090637
벌교보건지소주차장,전라남도 보성군청,34.850903,127.349701
벌교읍사무소주차장,전라남도 보성군청,34.847218,127.341636
보성벌교농민상담소주차장,전라남도 보성군청,34.845697,127.342704
벌교종합사회복지관주차장,전라남도 보성군청,34.848278,127.339784
태백산맥문학관주차장,전라남도 보성군청,34.849203,127.352218
보성군립노인전문병원주차장,전라남도 보성군청,34.833569,127.345179
벌교생태공원주차장,전라남도 보성군청,34.839346,127.360729
벌교스포츠센터주차장,전라남도 보성군청,34.839872,127.361372
노동면사무소주차장,전라남도 보성군청,34.797306,127.07077
미력면사무소주차장,전라남도 보성군청,34.800981,127.087588
겸백면사무소주차장,전라남도 보성군청,34.82937,127.15199
율어면사무소주차장,전라남도 보성군청,34.870794,127.187113
복내면사무소주차장,전라남도 보성군청,34.893082,127.131292
문덕면사무소주차장,전라남도 보성군청,34.929214,127.172724
백민미술관주차장,전라남도 보성군청,34.966481,127.161335
조성면사무소주차장,전라남도 보성군청,34.808533,127.247731
득량면사무소주차장,전라남도 보성군청,34.76224,127.168767
보성농어촌공공도서관주차장,전라남도 보성군청,34.779905,127.196775
회천면사무소주차장,전라남도 보성군청,34.668787,127.085492
수협보성회천수산물위판장주차장,전라남도 보성군청,34.667162,127.083786
웅치면사무소주차장,전라남도 보성군청,34.712633,127.021181
제암산자연휴양림주차장,전라남도 보성군청,34.699471,126.987433
문화예술회관 주차장,전라남도 보성군청,34.777812,127.088926
운문사주차장,경상북도 청도군,35.6715558,128.9567363
청도공영주차장,경상북도 청도군,35.6410562,128.7469778
청도군청공영주차장,경상북도 청도군,35.6470103,128.7339869
문화체육센터 공영주차장,경상북도 청도군,35.6485981,128.719247
청도군보건소공영주차장,경상북도 청도군,35.6487601,128.7371854
검단산로(창우동작평마을),경기도 하남시청,37.536429,127.228682
(구)국도43번호선공영주차장,경기도 하남도시공사,37.534042,127.213594
신장동로 140번길 주변,경기도 하남시청,37.543299,127.220237
남한산성등산로,경기도 하남시청,37.496144,127.190002
덕풍동 공영주차장,경기도 하남도시공사,37.546148,127.202388
신장동 566번지 앞공영주차장,경기도 하남도시공사,37.542275,127.212657
초이동 공영주차장,경기도 하남도시공사,37.544331,127.171234
동일하이빌아파트 이면도로,경기도 하남시청,37.541434,127.219179
덕풍공원 제2공영주차장,경기도 하남도시공사,37.536234,127.199885
역말중앙길,경기도 하남시청,37.532843,127.200226
대명아파트 이면도로,경기도 하남시청,37.542958,127.222004
현충탑 진입로,경기도 하남도시공사,37.535104,127.230025
덕풍공원 제1공영주차장,경기도 하남도시공사,37.536705,127.200076
덕풍어린이공원 공영주차장,경기도 하남도시공사,37.539912,127.197425
덕풍동 거주자우선주차장(중3류10호),경기도 하남도시공사,37.537279,127.198602
검단산로(창우동안말),경기도 하남도시공사,37.539413,127.233747
덕풍2동 주민센터(거주자우선주차장),경기도 하남도시공사,37.542247,127.198104
시립테니스장 주변 공영주차장,경기도 하남도시공사,37.5400055,127.2118095
덕풍1동 주민센터,경기도 하남도시공사,37.535074,127.198592
하남프라자 주변,경기도 하남시청,37.546148,127.202388
에코1단지 주변,경기도 하남시청,37.541094,127.208844
라인아파트 옆,경기도 하남시청,37.543871,127.200683
신장동 공영주차장,경기도 하남도시공사,37.541376,127.213962
덕풍1동 벽산블루밍 APT 이면도로,경기도 하남도시공사,37.536451,127.205705
한솔솔파크 이면도로,경기도 하남도시공사,37.542857,127.201587
하남순복음교회 주변,경기도 하남시청,37.534775,127.203219
덕풍수리골 공영주차장,경기도 하남시청,37.545511,127.198478
청양시장 주차장,충청남도 청양군,36.448457,126.801718
청양 읍내 제1공영주차장,충청남도 청양군,36.451745,126.804663
읍내3지구 주차장,충청남도 청양군,36.445914,126.798609
(구)전원식당,충청북도 괴산군청,36.810621,127.7930517
공영주차장(보훈회관 옆),충청북도 괴산군청,36.659279,127.737582
후평하상주차장,충청북도 괴산군청,36.694955,127.805191
칠성생활체육공원주차장,충청북도 괴산군청,36.788781,127.863618
문화예술회관주차장,충청북도 괴산군청,36.807471,127.795307
시장주차장,충청북도 괴산군청,36.811429,127.794883
공영주차장(신협앞),충청북도 괴산군청,36.809894,127.793957
공영주차장(우체국),충청북도 괴산군청,36.808699,127.792226
괴산군 전통시장주차장,충청북도 괴산군청,36.811168,127.795118
주교제1,경기도 고양도시관리공사,37.6555995,126.8317801
주교제2,경기도 고양도시관리공사,37.6565023,126.8330383
화정환승,경기도 고양도시관리공사,37.6349508,126.8330457
행신제1,경기도 고양도시관리공사,37.6175187,126.8331889
행신제2,경기도 고양도시관리공사,37.6171212,126.834984
행신제3,경기도 고양도시관리공사,37.6142778,126.8325302
행신제4,경기도 고양도시관리공사,37.6140941,126.8325397
행신제5,경기도 고양도시관리공사,37.6142783,126.8354071
행신제6,경기도 고양도시관리공사,37.6141053,126.8354165
고양제1,경기도 고양도시관리공사,37.6847824,126.9001214
고양제2,경기도 고양도시관리공사,37.7101293,126.9052724
성사제1,경기도 고양도시관리공사,37.6535983,126.8387834
성사제2,경기도 고양도시관리공사,37.6531981,126.838612
원당환승,경기도 고양도시관리공사,37.6540844,126.8410987
행신제7,경기도 고양도시관리공사,37.6211519,126.8309471
행신제9,경기도 고양도시관리공사,37.6146134,126.8432985
신도공영,경기도 고양도시관리공사,37.656279,126.9001052
서정 제1,경기도 고양도시관리공사,37.6186611,126.8463845
서정 제2,경기도 고양도시관리공사,37.6909236,126.7618817
행신 제4(임시),경기도 고양도시관리공사,37.6225468,126.8327212
고양시청 부설주차장,경기도 고양도시관리공사,37.6584145,126.8319597
덕양구청 부설주차장,경기도 고양도시관리공사,37.6374653,126.8322924
행주산성 부설주차장 상,경기도 고양도시관리공사,37.600182,126.824871
행주산성 부설주차장 하,경기도 고양도시관리공사,37.600558,126.823702
탄현5(공영),경기도 고양도시관리공사,37.6943795,126.7690184
탄현제1,경기도 고양도시관리공사,37.6909236,126.7618817
탄현제2,경기도 고양도시관리공사,37.691125,126.7634684
탄현제3,경기도 고양도시관리공사,37.692768,126.7724158
탄현제4,경기도 고양도시관리공사,37.6925159,126.7743713
일산제1,경기도 고양도시관리공사,37.6827939,126.7770081
일산제2,경기도 고양도시관리공사,37.6837464,126.7756721
전시장공영,경기도 고양도시관리공사,37.6671977,126.7473409
탄현환승,경기도 고양도시관리공사,37.6956853,126.7623291
일산역,경기도 고양도시관리공사,37.682195,126.768424
일산종합 사회복지관,경기도 고양도시관리공사,37.684511,126.7685049
종합운동장 1,경기도 고양도시관리공사,37.678303,126.742285
종합운동장 2,경기도 고양도시관리공사,37.678303,126.742285
장항제1,경기도 고양도시관리공사,37.6620339,126.7687424
장항제2,경기도 고양도시관리공사,37.6637749,126.7670369
장항제3,경기도 고양도시관리공사,37.6628034,126.7660472
장항제4,경기도 고양도시관리공사,37.6610085,126.7677936
복지회관건립부지,경기도 고양도시관리공사,37.6607014,126.771054
백석1,경기도 고양도시관리공사,37.6405898,126.7875174
백석2,경기도 고양도시관리공사,37.6396237,126.7893737
중산제1,경기도 고양도시관리공사,37.6835709,126.7781531
중산제2,경기도 고양도시관리공사,37.685218,126.7801117
풍동제1,경기도 고양도시관리공사,37.6731688,126.7996211
풍동제2,경기도 고양도시관리공사,37.6677243,126.7980626
풍동제3,경기도 고양도시관리공사,37.667567,126.8009691
백석환승터미널,경기도 고양도시관리공사,37.6432318,126.7896989
중산제3,경기도 고양도시관리공사,37.683575,126.788779
백마역,경기도 고양도시관리공사,37.658981,126.793517
동구청 부설주차장,경기도 고양도시관리공사,37.6588817,126.7749581
호수공원 부설주차장 1,경기도 고양도시관리공사,37.665015,126.759358
호수공원 부설주차장 2,경기도 고양도시관리공사,37.662159,126.762911
호수공원 부설주차장 3,경기도 고양도시관리공사,37.654923,126.769007
호수공원 부설주차장 4,경기도 고양도시관리공사,37.651883,126.770738
중산공원 부설주차장,경기도 고양도시관리공사,37.692165,126.779594
남대천변 좌안,전라북도 무주군청,36.004424,127.648748
남대천변 우안,전라북도 무주군청,36.004375,127.654277
무주시장 부설주차장,전라북도 무주군청,36.004275,127.652842
보건의료원 부설주차장,전라북도 무주군청,36.005882,127.671709
무주읍사무소 앞,전라북도 무주군청,36.008628,127.662294
예체문화관 주차장,전라북도 무주군청,36.006609,127.656347
차쉼터 무료공영주차장,전라북도 무주군청,36.007034,127.66073
무주건강원 앞 주차장,전라북도 무주군청,36.006609,127.656347
진강원식당 옆 주차장,전라북도 무주군청,36.006453,127.658856
올레 케이티 옆 주차장,전라북도 무주군청,36.004128,127.653826
신도수퍼 뒤,전라북도 무주군청,36.007048,127.658651
뼈다귀 감자탕집 앞,전라북도 무주군청,36.004672,127.664375
유화성상회 앞,전라북도 무주군청,36.006453,127.658856
신옥류관 앞,전라북도 무주군청,36.007796,127.663702
구 미로나이트,전라북도 무주군청,36.006241,127.656903
축협 옆,전라북도 무주군청,36.006633,127.663015
남대천숯불갈비 옆,전라북도 무주군청,36.006633,127.663015
당산마을 앞,전라북도 무주군청,36.005683,127.667945
요촌제1공영주차장,김제시청,35.801822,126.885204
요촌제2공영주차장,김제시청,35.8035487,126.883774
요촌제3공영주차장,김제시청,35.804315,126.890461
금만제1공영주차장,김제시청,35.798927,126.888854
진봉거전주차장,김제시청,35.84254639,126.691228
신풍임시공영주차장,김제시청,35.800407,126.898764
금구향교주차장,김제시청,35.773107,127.011077
요촌공영주차장(구 박애의원),김제시청,35.800431,126.886656
요촌공영(새벽시장),김제시청,35.81254686,126.890374
검산제1공영주차장,김제시청,35.80188582,126.902968
검산제2공영주차장,김제시청,35.803496,126.904694
요촌전통시장주차장,김제시청,35.801609,126.883314
교동신동 공영주차장,김제시청,35.7996476,126.879698
신풍동 공영주차장,김제시청,35.796692,126.896963
원평공영주차장,김제시청,35.714251,126.992577
역전 전통시장 주차장,김제시청,35.793444,126.901239
요촌동주민센터,김제시청,35.805402,126.891802
금만사거리 구도심,김제시청,35.800045,126.888967
요촌주차장(박애) 확장,김제시청,35.800431,126.886656
금만제2공영주차장,김제시청,35.799908,126.886658
성주전통시장주차장,경상북도 성주군청,35.914201,128.285165
성주제일교회 주차장,경상북도 성주군청,35.208502,128.287661
성주체육관 공영주차장,경상북도 성주군청,35.9180864,128.2902129
성밖공원 주차장,경상북도 성주군청,35.9152355,128.2811296
중동 써니밸리@ 옆 주차장,광양시청,34.951335,127.687144
썬샤인로 주변 주차장,광양시청,34.964341,127.582799
사동농협 앞 공영주차장,광양시청,34.949839,127.688777
중동 상가밀집지역 주차장,광양시청,34.934128,127.699322
남천1동 공영주차장,부산광역시 수영구청,35.139732,129.109206
민락매립지 공영주차장,부산광역시 수영구청,35.154942,129.127284
광안리해수욕장 공영주차장,부산광역시 수영구청,35.151561,129.116126
망미동 번영로 하부 공영주차장,부산광역시 수영구청,35.171592,129.109643
광안동 번영로 하부 공영주차장,부산광역시 수영구청,35.170592,129.108831
망미동노외공영주차장,부산광역시 수영구청,35.170546,129.096892
민락수변공원 공영주차장,부산광역시 수영구청,35.156757,129.133466
민락해변공원 공영주차장,부산광역시 수영구청,35.153342,129.124362
수변공원 공영주차장,부산시설공단,35.154909,129.130999
광안해수월드 옆 공영주차장,부산시설공단,35.156434,129.134077
광안역 주차장 공영주차장,부산교통공사,35.161858,129.113263
평화1길-2,경기도 부천시 시설관리공단,37.48286541,126.7999767
진주노외,경기도 부천시 시설관리공단,37.47985853,126.8057869
성주산노외,경기도 부천시 시설관리공단,37.47600712,126.7759779
장승업노외,경기도 부천시 시설관리공단,37.48621829,126.7581821
구 소사구청,경기도 부천시 시설관리공단,37.48161632,126.7728995
작은별 노외,경기도 부천시 시설관리공단,37.47811741,126.7990985
들국화 공영주차장,경기도 부천시 시설관리공단,37.52036364,126.7990486
여월동(여월초교 앞),경기도 부천시 시설관리공단,37.51867299,126.7967274
꿈빛도서관 옆 노외주차장,경기도 부천시 시설관리공단,37.50811463,126.7737105
서촌체육관,경기도 부천시 시설관리공단,37.48825056,126.7510475
건강노외,경기도 부천시 시설관리공단,37.49647962,126.7656714
도당동 노외,경기도 부천시 시설관리공단,37.50758087,126.7792269
도당1호,경기도 부천시 시설관리공단,37.50857,126.7879871
멀뫼노외,경기도 부천시 시설관리공단,37.49285032,126.7947032
부일노외,경기도 부천시 시설관리공단,37.48780394,126.8161327
역마노외,경기도 부천시 시설관리공단,37.48724825,126.8156999
역마2길,경기도 부천시 시설관리공단,37.48798909,126.8169961
역마1길,경기도 부천시 시설관리공단,37.4836949,126.8068126
평화1길,경기도 부천시 시설관리공단,37.48286154,126.8041239
한아름 노외,경기도 부천시 시설관리공단,37.48468048,126.8192655
원종1동 공한지16호,경기도 부천시 시설관리공단,37.52602685,126.8085226
원종1동 공한지20호,경기도 부천시 시설관리공단,37.51877795,126.8077539
베르네천 노외1,경기도 부천시 시설관리공단,37.5188516,126.8021566
베르네천 노외2,경기도 부천시 시설관리공단,37.5188516,126.8021566
고강1동 공한지,경기도 부천시 시설관리공단,37.52618248,126.8157353
고강동 공한지14호,경기도 부천시 시설관리공단,37.52884364,126.8143305
고강본동 공한지18호,경기도 부천시 시설관리공단,37.52898131,126.824218
성곡동 공한지19호,경기도 부천시 시설관리공단,37.51884117,126.8157625
신흥노외,경기도 부천시 시설관리공단,37.49371731,126.7778881
약대동 공한지4호,경기도 부천시 시설관리공단,37.51299558,126.774293
시유지노외,경기도 부천시 시설관리공단,,
교통정보센터,경기도 부천시 시설관리공단,37.50169474,126.7807461
작밭골노외,경기도 부천시 시설관리공단,37.48365598,126.7986133
장말노외,경기도 부천시 시설관리공단,37.48843484,126.7784375
심곡동 공한지18호,경기도 부천시 시설관리공단,37.48960655,126.7767379
역곡2동 공한지6호,경기도 부천시 시설관리공단,37.4874669,126.8059481
성심노외,경기도 부천시 시설관리공단,37.48408184,126.8054187
역곡2동 공한지10호,경기도 부천시 시설관리공단,37.48691952,126.8062164
성심고가 옆,경기도 부천시 시설관리공단,37.48350906,126.8055739
역곡2동 공한지17호,경기도 부천시 시설관리공단,37.48543266,126.8049991
송내1동 공한지15호,경기도 부천시 시설관리공단,37.48540977,126.7523731
김좌진 노외,경기도 부천시 시설관리공단,37.48507471,126.7740106
송내2동 공한지7호,경기도 부천시 시설관리공단,37.48134344,126.773434
목화연립,경기도 부천시 시설관리공단,37.4849354,126.7746623
소사본동 공한지9호,경기도 부천시 시설관리공단,37.47063248,126.7932085
소사본3동 공한지5호,경기도 부천시 시설관리공단,37.47190707,126.8008786
고강차고지진입로,경기도 부천시 시설관리공단,37.53701063,126.8215561
구버스터미널일원,경기도 부천시 시설관리공단,37.50269969,126.7672624
내동고개,경기도 부천시 시설관리공단,37.51989591,126.7754803
내동언덕,경기도 부천시 시설관리공단,37.51794839,126.7805085
도당수돗길,경기도 부천시 시설관리공단,37.51703817,126.7813663
로데오거리,경기도 부천시 시설관리공단,,
롯데백화점일원,경기도 부천시 시설관리공단,,
법원동쪽,경기도 부천시 시설관리공단,37.49229242,126.7588455
부천공구상가,경기도 부천시 시설관리공단,37.51016039,126.7845669
부천북부역,경기도 부천시 시설관리공단,37.48440781,126.7835509
샛말길,경기도 부천시 시설관리공단,37.53410645,126.8172636
시청서쪽,경기도 부천시 시설관리공단,,
심곡2동 행정복지센터(앞),경기도 부천시 시설관리공단,37.48741652,126.7871605
심곡공원로,경기도 부천시 시설관리공단,37.48916435,126.7850976
오정공구상가,경기도 부천시 시설관리공단,37.51523156,126.7769783
원미서앞일원,경기도 부천시 시설관리공단,37.49983712,126.7779876
원미초등학교 일원,경기도 부천시 시설관리공단,37.48984569,126.7871898
중4동 행정복지센터(앞),경기도 부천시 시설관리공단,37.50630034,126.7619582
중동먹거리,경기도 부천시 시설관리공단,,
중동먹자골목,경기도 부천시 시설관리공단,37.49756621,126.7758774
투나백화점일원,경기도 부천시 시설관리공단,,
구터미널,경기도 부천시 시설관리공단,37.50209102,126.769309
다산지하,경기도 부천시 시설관리공단,37.4860986,126.7649485
로데오,경기도 부천시 시설관리공단,37.49083966,126.7517219
무지개고가,경기도 부천시 시설관리공단,,
반달,경기도 부천시 시설관리공단,37.48900875,126.7516873
법원앞,경기도 부천시 시설관리공단,37.49038851,126.7566037
부천남부역,경기도 부천시 시설관리공단,37.48339424,126.7830925
부천역 남부 제2호,경기도 부천시 시설관리공단,37.48338489,126.7858694
부흥,경기도 부천시 시설관리공단,37.49394717,126.7793891
비둘기공원,경기도 부천시 시설관리공단,37.488259,126.7750232
삼정1호,경기도 부천시 시설관리공단,37.52181424,126.770375
삼정2호,경기도 부천시 시설관리공단,37.5263822,126.7712434
삼정3호,경기도 부천시 시설관리공단,37.52635061,126.7661572
상2동 행정복지센터 임시,경기도 부천시 시설관리공단,37.50048697,126.754861
상동철골,경기도 부천시 시설관리공단,37.49226136,126.7648885
춘의복개천2,경기도 부천시 시설관리공단,37.5023491,126.7897961
서촌공원,경기도 부천시 시설관리공단,37.48827361,126.7517259
소방서옆,경기도 부천시 시설관리공단,37.49499543,126.7771923
소새울공원,경기도 부천시 시설관리공단,37.4766571,126.7986999
소원지하,경기도 부천시 시설관리공단,37.48490375,126.7969637
솔안공원,경기도 부천시 시설관리공단,37.48805847,126.7557112
송내IC,경기도 부천시 시설관리공단,37.4891482,126.7460784
송내남부,경기도 부천시 시설관리공단,37.48577914,126.7532131
송내북부,경기도 부천시 시설관리공단,37.488766,126.7562652
시의회옆,경기도 부천시 시설관리공단,37.5027479,126.7643128
심곡본동철골,경기도 부천시 시설관리공단,37.48339424,126.7830925
심곡지하,경기도 부천시 시설관리공단,37.48916435,126.7850976
안중근공원,경기도 부천시 시설관리공단,37.50328387,126.7602216
오정2호,경기도 부천시 시설관리공단,37.524308,126.7836257
오정도서관 부지,경기도 부천시 시설관리공단,37.52758512,126.7943184
오정산업단지,경기도 부천시 시설관리공단,37.53095462,126.7801808
원미지하,경기도 부천시 시설관리공단,37.49196507,126.7873104
원미철골,경기도 부천시 시설관리공단,37.49260992,126.7851691
원종철골,경기도 부천시 시설관리공단,37.52507359,126.8052172
윗소사,경기도 부천시 시설관리공단,37.47405869,126.7945737
중앙공원,경기도 부천시 시설관리공단,37.50136599,126.7653349
춘의동 임시,경기도 부천시 시설관리공단,37.49888209,126.7858161
한신철골,경기도 부천시 시설관리공단,37.47312398,126.7980175
호텔부지,경기도 부천시 시설관리공단,37.503498,126.7681873
난장,경기도 부천시 시설관리공단,37.50856874,126.7437144
복사골문화센터,경기도 부천시 시설관리공단,37.49478407,126.7542147
소사어울마당,경기도 부천시 시설관리공단,37.48023074,126.7999068
송내어울마당,경기도 부천시 시설관리공단,37.48250133,126.7665427
시민회관,경기도 부천시 시설관리공단,37.48863263,126.7706575
아인스월드,경기도 부천시 시설관리공단,37.50856874,126.7437144
야인시대,경기도 부천시 시설관리공단,37.50856874,126.7437144
오정레포츠센터,경기도 부천시 시설관리공단,37.52874593,126.7945008
오정어울마당,경기도 부천시 시설관리공단,37.52834853,126.7960269
오정어울마당 제2호 부설,경기도 부천시 시설관리공단,37.52758512,126.7943184
원미공원1,경기도 부천시 시설관리공단,37.4985909,126.79642
